,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
64,592719.0,1291408.0,534968.0,131575.0,663689.0,7686836.0,809092.0,120039.0,3597827.0,668780.0,5757870.0,1282241.0,447281.0,889201.0,812056.0,6015755.0,242608.0,72954.0,95801.0,82353.0,2269350.0,2047844.0,967350.0,1269291.0,1382627.0,178066.0,359455.0
65,596723.0,1264355.0,535641.0,131156.0,658947.0,7674361.0,819878.0,113271.0,3672958.0,668344.0,5854031.0,1289185.0,450879.0,888900.0,827278.0,5942443.0,252505.0,75304.0,91792.0,82535.0,2271431.0,1963059.0,996801.0,1261600.0,1379183.0,178425.0,359719.0
66,577532.0,1272341.0,540091.0,132217.0,652454.0,7541856.0,827843.0,114198.0,3660459.0,674526.0,5914121.0,1328377.0,434314.0,886823.0,803952.0,6092820.0,246721.0,67049.0,88903.0,84532.0,2367081.0,1986228.0,991616.0,1349351.0,1395924.0,178520.0,348061.0
67,578601.0,1256073.0,544870.0,138497.0,648559.0,7653162.0,807202.0,119487.0,3543523.0,668387.0,5950973.0,1325272.0,443950.0,881141.0,744732.0,5999076.0,247620.0,70949.0,95185.0,81578.0,1949452.0,1986961.0,1024947.0,1287332.0,1383304.0,180455.0,356231.0
68,583236.0,1267813.0,535839.0,143828.0,639457.0,7513116.0,824586.0,117452.0,3724184.0,670953.0,5990309.0,1340336.0,455014.0,893752.0,739591.0,5891459.0,240685.0,73592.0,93871.0,89935.0,2122764.0,1986224.0,1034757.0,1281521.0,1382643.0,180445.0,364319.0
69,571165.0,1236667.0,541814.0,138239.0,661173.0,7644944.0,803349.0,113695.0,3731523.0,656645.0,6058545.0,1345427.0,469459.0,854594.0,749706.0,6068243.0,240329.0,74454.0,93848.0,81647.0,2295303.0,1977168.0,1016321.0,1266705.0,1374568.0,176903.0,359998.0
70,586214.0,1256444.0,529710.0,140130.0,657297.0,7462344.0,802271.0,119416.0,3646311.0,681004.0,6229195.0,1360185.0,454946.0,863014.0,821331.0,6247512.0,239039.0,71742.0,95334.0,83266.0,2323139.0,1915431.0,988353.0,1280263.0,1366390.0,183457.0,343056.0
71,583986.0,1241369.0,538182.0,141828.0,628826.0,7550840.0,782823.0,118161.0,3627372.0,667525.0,6237287.0,1417935.0,462514.0,854425.0,775661.0,6396226.0,230212.0,73663.0,89119.0,84922.0,2060168.0,1920401.0,1027943.0,1251501.0,1390827.0,184268.0,355544.0
72,564355.0,1220752.0,557053.0,145177.0,640807.0,7490802.0,812331.0,121581.0,3517391.0,684014.0,5993877.0,1403914.0,463172.0,863135.0,768293.0,6452960.0,238035.0,75347.0,90647.0,88944.0,1917378.0,1935537.0,982558.0,1282821.0,1395258.0,178742.0,340424.0
73,567309.0,1195406.0,544390.0,138021.0,652108.0,7520815.0,808600.0,118054.0,3420729.0,683921.0,6045375.0,1398469.0,457818.0,857515.0,814431.0,6708491.0,227871.0,74497.0,92502.0,90870.0,2157356.0,2011578.0,1004613.0,1310040.0,1401433.0,182266.0,343385.0
74,554289.0,1209009.0,547334.0,138426.0,619569.0,7394208.0,813733.0,119922.0,3437538.0,670712.0,5975007.0,1416532.0,472808.0,864328.0,827716.0,6602843.0,225130.0,71968.0,94593.0,90436.0,1898115.0,2001264.0,968041.0,1228815.0,1415327.0,181203.0,345921.0
75,556319.0,1194147.0,536100.0,140427.0,628656.0,7359865.0,810323.0,115810.0,3433832.0,681918.0,5797312.0,1400841.0,475855.0,879672.0,842304.0,6629530.0,239620.0,71946.0,95226.0,84295.0,2092201.0,1981556.0,995505.0,1252866.0,1414644.0,184572.0,339274.0
76,559916.0,1189671.0,552045.0,141961.0,603992.0,7368589.0,815391.0,114593.0,3430678.0,671528.0,5836357.0,1429298.0,468882.0,866284.0,856042.0,6622235.0,239311.0,69502.0,97509.0,89018.0,2184914.0,2003414.0,1026318.0,1265310.0,1394307.0,181477.0,345104.0
77,552450.0,1170448.0,530545.0,141619.0,625718.0,7301380.0,805858.0,119896.0,3418411.0,695714.0,5691474.0,1410117.0,451958.0,881394.0,892925.0,6521746.0,247394.0,73071.0,92359.0,91092.0,2210763.0,1996308.0,1061518.0,1255214.0,1407814.0,177343.0,340013.0
78,563673.0,1191111.0,553637.0,140810.0,600294.0,7184812.0,793730.0,117969.0,3434008.0,688718.0,5621081.0,1352586.0,447810.0,885188.0,893490.0,6545860.0,235278.0,72548.0,96040.0,89723.0,2252979.0,2015192.0,1079414.0,1212780.0,1389174.0,185016.0,341257.0
79,565578.0,1178883.0,554842.0,138333.0,606430.0,7266868.0,807021.0,117163.0,3496114.0,693334.0,5556749.0,1345916.0,443241.0,873859.0,883077.0,6463188.0,236746.0,66392.0,99551.0,86800.0,2260579.0,2016102.0,1164068.0,1169951.0,1379491.0,178002.0,332852.0
