,AD,AL,AM,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GE,GI,GR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MC,MD,MK,MT,NL,NO,PL,PT,RO,RU,SE,SI,SK,SM,TR,UA,VA
10,1133.0,52785.0,4293.0,72955.0,52917.0,191659.0,51877.0,10147.0,157174.0,21238.0,53306.0,1090598.0,145014.0,10502.0,645613.0,111186.0,4324.0,1160790.0,2422263.0,12021.0,1276.0,184025.0,47474.0,58799.0,371146.0,126024.0,748297.0,304.0,12191.0,10448.0,8125.0,1588.0,3895.0,98942.0,8342.0,709155.0,174503.0,179072.0,413149.0,84265.0,398708.0,270751.0,15677.0,19440.0,199.0,1727130.0,48134.0,30.0
11,1409.0,44184.0,3678.0,69473.0,46813.0,182889.0,51133.0,10050.0,144360.0,18670.0,50155.0,1032623.0,134141.0,9774.0,610863.0,107164.0,3692.0,1124038.0,2263196.0,10566.0,1431.0,171543.0,43441.0,56540.0,359252.0,117785.0,687053.0,442.0,11505.0,11200.0,7684.0,1063.0,3605.0,87039.0,8536.0,691849.0,161131.0,157239.0,355596.0,87455.0,410030.0,255343.0,16636.0,19499.0,157.0,1488544.0,46877.0,10.0
12,1194.0,40346.0,3744.0,68646.0,42420.0,172822.0,47801.0,9468.0,142805.0,16930.0,48672.0,1004385.0,129895.0,9210.0,569710.0,111209.0,4093.0,1071705.0,2147205.0,10475.0,1270.0,165520.0,39915.0,55210.0,330457.0,110609.0,632828.0,335.0,11901.0,8907.0,7968.0,977.0,3671.0,83272.0,7849.0,680931.0,164287.0,145988.0,336925.0,78491.0,442693.0,242667.0,16268.0,18948.0,116.0,1309216.0,46622.0,3.0
13,1014.0,35517.0,3637.0,65884.0,39840.0,163162.0,46002.0,9862.0,137089.0,16436.0,51079.0,1007296.0,128804.0,9239.0,524773.0,119123.0,3658.0,1008903.0,2030516.0,11905.0,994.0,157520.0,38785.0,60464.0,334211.0,102979.0,584202.0,535.0,12282.0,8926.0,7346.0,766.0,3576.0,77179.0,7969.0,681794.0,153936.0,135752.0,301697.0,79493.0,489289.0,227055.0,13642.0,17309.0,248.0,1162350.0,49210.0,8.0
14,633.0,32211.0,4776.0,63422.0,35475.0,157339.0,44833.0,10032.0,134561.0,16765.0,52489.0,996316.0,120670.0,10481.0,491851.0,118058.0,3473.0,1010373.0,1943817.0,12881.0,1147.0,149940.0,34207.0,64227.0,285165.0,101096.0,561698.0,261.0,13056.0,10201.0,8503.0,1245.0,3259.0,72334.0,6945.0,675448.0,143084.0,149251.0,280444.0,80074.0,501055.0,216624.0,14274.0,18395.0,170.0,1064591.0,51093.0,1.0
15,683.0,29297.0,4156.0,64353.0,29981.0,156777.0,44461.0,10609.0,122217.0,13923.0,52839.0,988300.0,114183.0,11230.0,461856.0,125239.0,2293.0,980591.0,1897705.0,13077.0,1063.0,137981.0,34251.0,64051.0,273637.0,97390.0,533842.0,266.0,13454.0,8848.0,8169.0,1066.0,3215.0,64433.0,7282.0,663105.0,136022.0,140562.0,243420.0,80075.0,533393.0,213495.0,13151.0,17619.0,103.0,977870.0,51604.0,14.0
16,1118.0,26045.0,4864.0,63258.0,25779.0,142344.0,50056.0,13489.0,123332.0,15052.0,55997.0,980711.0,113266.0,10062.0,440330.0,127844.0,1832.0,963365.0,1809943.0,13684.0,1232.0,133313.0,31078.0,70693.0,261260.0,92815.0,516169.0,349.0,13282.0,8377.0,8623.0,808.0,3305.0,61570.0,6605.0,659374.0,131270.0,140010.0,222572.0,84816.0,564357.0,205565.0,12801.0,20084.0,123.0,881852.0,56950.0,9.0
17,945.0,24170.0,6579.0,67002.0,24935.0,149079.0,54039.0,11622.0,117578.0,14637.0,58149.0,1000675.0,112434.0,11763.0,417607.0,138509.0,2548.0,953662.0,1763014.0,14144.0,911.0,134989.0,29968.0,74337.0,268865.0,94395.0,508840.0,277.0,16509.0,8457.0,10194.0,840.0,3710.0,54108.0,7931.0,626979.0,135976.0,142701.0,194410.0,89686.0,612819.0,205919.0,14123.0,20273.0,99.0,796119.0,59614.0,5.0
18,782.0,21007.0,7127.0,68743.0,21220.0,143160.0,52493.0,12441.0,117089.0,15844.0,62044.0,1017921.0,113355.0,11076.0,409254.0,147509.0,1893.0,917742.0,1711662.0,15259.0,816.0,132839.0,30293.0,77656.0,257802.0,97082.0,512052.0,249.0,16044.0,8362.0,10825.0,921.0,4188.0,52995.0,8147.0,621622.0,128491.0,152700.0,186430.0,96476.0,631119.0,212427.0,14049.0,19593.0,152.0,798814.0,62698.0,7.0
19,796.0,19514.0,7261.0,74436.0,20285.0,146188.0,65922.0,13930.0,118440.0,16571.0,67891.0,1081893.0,118138.0,14403.0,406114.0,156460.0,2089.0,947580.0,1653714.0,17257.0,1020.0,137709.0,32904.0,88745.0,265925.0,95513.0,518824.0,325.0,20544.0,8577.0,12275.0,1250.0,4901.0,45476.0,7868.0,602864.0,128634.0,168520.0,170121.0,113383.0,689488.0,219969.0,14978.0,24717.0,133.0,731691.0,72767.0,3.0
20,1164.0,16773.0,10125.0,82073.0,17661.0,152802.0,80657.0,15744.0,113925.0,19812.0,74335.0,1121972.0,124837.0,15188.0,393404.0,171921.0,1572.0,926075.0,1583309.0,19110.0,669.0,148806.0,33550.0,101593.0,275286.0,94504.0,507776.0,626.0,24912.0,9592.0,14111.0,987.0,6316.0,36807.0,8955.0,677909.0,125969.0,178898.0,153064.0,129880.0,722447.0,232622.0,16911.0,27868.0,190.0,662554.0,79818.0,4.0
21,476.0,15898.0,10923.0,84487.0,16159.0,148848.0,81000.0,17508.0,116900.0,20159.0,78126.0,1164547.0,127510.0,17062.0,380432.0,174666.0,1622.0,922779.0,1577680.0,21983.0,800.0,145441.0,31776.0,108941.0,301061.0,93423.0,512337.0,599.0,26429.0,8710.0,14343.0,635.0,5348.0,35393.0,8390.0,626350.0,130629.0,201495.0,146964.0,137516.0,741284.0,230665.0,16074.0,28173.0,215.0,659526.0,82890.0,11.0
22,508.0,16482.0,12277.0,92001.0,17435.0,155812.0,97950.0,19044.0,118851.0,23853.0,86637.0,1251879.0,142295.0,18574.0,384806.0,179000.0,1535.0,921368.0,1613810.0,24597.0,1090.0,150467.0,35013.0,125095.0,367161.0,103177.0,522257.0,457.0,29227.0,8224.0,16007.0,808.0,6340.0,30928.0,9532.0,757201.0,131748.0,204005.0,138554.0,160432.0,794945.0,251585.0,19485.0,31327.0,132.0,650905.0,91929.0,10.0
23,449.0,15591.0,13413.0,103647.0,19384.0,164023.0,110096.0,22175.0,122654.0,24112.0,94132.0,1345757.0,147915.0,21346.0,386342.0,189658.0,1038.0,944023.0,1566113.0,28966.0,984.0,168406.0,38244.0,144120.0,351626.0,98672.0,541064.0,316.0,34545.0,10614.0,18515.0,587.0,6920.0,29772.0,10308.0,794361.0,134881.0,234410.0,122964.0,183351.0,846666.0,261154.0,20251.0,36956.0,221.0,659296.0,104965.0,8.0
24,723.0,17580.0,15247.0,114890.0,20243.0,192937.0,118485.0,23444.0,129811.0,25181.0,108836.0,1499615.0,159952.0,24533.0,392385.0,209942.0,1422.0,994745.0,1559215.0,32286.0,944.0,178634.0,43963.0,165506.0,396970.0,104393.0,609413.0,507.0,39256.0,11500.0,20809.0,759.0,7931.0,31336.0,11660.0,690866.0,149451.0,263155.0,118031.0,199466.0,915009.0,288277.0,24700.0,44785.0,124.0,684314.0,112685.0,2.0
25,700.0,16760.0,18217.0,135567.0,20984.0,200210.0,131375.0,25327.0,135701.0,30343.0,126117.0,1716944.0,176572.0,26042.0,425941.0,220687.0,1405.0,1070804.0,1643176.0,35694.0,622.0,206040.0,49826.0,188852.0,386516.0,104147.0,677585.0,578.0,48971.0,12753.0,21689.0,1047.0,9197.0,29410.0,14624.0,738087.0,159591.0,288205.0,109190.0,231103.0,983830.0,319091.0,26376.0,52780.0,232.0,713456.0,129301.0,111.0
